date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:48:53	50733/50733	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:34:31%20GMT	https://colorlib.com//polygon/adminty/default/foo-table.html	/home/sumon/websites/sumon/colorlib.com/polygon/adminty/default/foo-table.html	(from https://colorlib.com//polygon/adminty/default/index.html)
22:48:54	49082/49082	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:34:35%20GMT	https://colorlib.com//polygon/adminty/default/handson-appearance.html	/home/sumon/websites/sumon/colorlib.com/polygon/adminty/default/handson-appearance.html	(from https://colorlib.com//polygon/adminty/default/index.html)
22:48:55	50770/50770	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:34:37%20GMT	https://colorlib.com//polygon/adminty/default/handson-data-operation.html	/home/sumon/websites/sumon/colorlib.com/polygon/adminty/default/handson-data-operation.html	(from https://colorlib.com//polygon/adminty/default/index.html)
22:48:56	50098/50098	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:34:37%20GMT	https://colorlib.com//polygon/adminty/default/handson-rows-cols.html	/home/sumon/websites/sumon/colorlib.com/polygon/adminty/default/handson-rows-cols.html	(from https://colorlib.com//polygon/adminty/default/index.html)
22:48:57	49206/49206	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:34:36%20GMT	https://colorlib.com//polygon/adminty/default/handson-columns-only.html	/home/sumon/websites/sumon/colorlib.com/polygon/adminty/default/handson-columns-only.html	(from https://colorlib.com//polygon/adminty/default/index.html)
22:48:58	51785/51785	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:34:36%20GMT	https://colorlib.com//polygon/adminty/default/handson-cell-features.html	/home/sumon/websites/sumon/colorlib.com/polygon/adminty/default/handson-cell-features.html	(from https://colorlib.com//polygon/adminty/default/index.html)
22:48:59	52348/52348	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:34:36%20GMT	https://colorlib.com//polygon/adminty/default/handson-cell-types.html	/home/sumon/websites/sumon/colorlib.com/polygon/adminty/default/handson-cell-types.html	(from https://colorlib.com//polygon/adminty/default/index.html)
22:49:00	48919/48919	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:34:37%20GMT	https://colorlib.com//polygon/adminty/default/handson-integrations.html	/home/sumon/websites/sumon/colorlib.com/polygon/adminty/default/handson-integrations.html	(from https://colorlib.com//polygon/adminty/default/index.html)
22:49:01	47978/47978	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:34:37%20GMT	https://colorlib.com//polygon/adminty/default/handson-rows-only.html	/home/sumon/websites/sumon/colorlib.com/polygon/adminty/default/handson-rows-only.html	(from https://colorlib.com//polygon/adminty/default/index.html)
22:49:02	51321/51321	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:34:38%20GMT	https://colorlib.com//polygon/adminty/default/handson-utilities.html	/home/sumon/websites/sumon/colorlib.com/polygon/adminty/default/handson-utilities.html	(from https://colorlib.com//polygon/adminty/default/index.html)
22:49:03	52331/52331	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:34:25%20GMT	https://colorlib.com//polygon/adminty/default/editable-table.html	/home/sumon/websites/sumon/colorlib.com/polygon/adminty/default/editable-table.html	(from https://colorlib.com//polygon/adminty/default/index.html)
22:49:04	51005/51005	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:34:01%20GMT	https://colorlib.com//polygon/adminty/default/chart-google.html	/home/sumon/websites/sumon/colorlib.com/polygon/adminty/default/chart-google.html	(from https://colorlib.com//polygon/adminty/default/index.html)
22:49:05	48706/48706	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:34:00%20GMT	https://colorlib.com//polygon/adminty/default/chart-echart.html	/home/sumon/websites/sumon/colorlib.com/polygon/adminty/default/chart-echart.html	(from https://colorlib.com//polygon/adminty/default/index.html)
22:49:06	49712/49712	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:34:00%20GMT	https://colorlib.com//polygon/adminty/default/chart-chartjs.html	/home/sumon/websites/sumon/colorlib.com/polygon/adminty/default/chart-chartjs.html	(from https://colorlib.com//polygon/adminty/default/index.html)
22:49:07	49945/49945	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:34:02%20GMT	https://colorlib.com//polygon/adminty/default/chart-list.html	/home/sumon/websites/sumon/colorlib.com/polygon/adminty/default/chart-list.html	(from https://colorlib.com//polygon/adminty/default/index.html)
22:49:08	50144/50144	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:34:00%20GMT	https://colorlib.com//polygon/adminty/default/chart-float.html	/home/sumon/websites/sumon/colorlib.com/polygon/adminty/default/chart-float.html	(from https://colorlib.com//polygon/adminty/default/index.html)
22:49:09	49941/49941	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:34:01%20GMT	https://colorlib.com//polygon/adminty/default/chart-knob.html	/home/sumon/websites/sumon/colorlib.com/polygon/adminty/default/chart-knob.html	(from https://colorlib.com//polygon/adminty/default/index.html)
22:49:10	49403/49403	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:34:02%20GMT	https://colorlib.com//polygon/adminty/default/chart-morris.html	/home/sumon/websites/sumon/colorlib.com/polygon/adminty/default/chart-morris.html	(from https://colorlib.com//polygon/adminty/default/index.html)
22:49:11	49345/49345	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:34:02%20GMT	https://colorlib.com//polygon/adminty/default/chart-nvd3.html	/home/sumon/websites/sumon/colorlib.com/polygon/adminty/default/chart-nvd3.html	(from https://colorlib.com//polygon/adminty/default/index.html)
22:49:12	50819/50819	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:34:03%20GMT	https://colorlib.com//polygon/adminty/default/chart-peity.html	/home/sumon/websites/sumon/colorlib.com/polygon/adminty/default/chart-peity.html	(from https://colorlib.com//polygon/adminty/default/index.html)
22:49:13	50385/50385	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:34:03%20GMT	https://colorlib.com//polygon/adminty/default/chart-radial.html	/home/sumon/websites/sumon/colorlib.com/polygon/adminty/default/chart-radial.html	(from https://colorlib.com//polygon/adminty/default/index.html)
